"Panel","sp","N","r_squared","p_value"
"Aboveground","CG",7,0.463076916742464,0.0924590703771088
"Aboveground","CM",8,0.205021751230212,0.259915941326457
"Aboveground","CS",3,0.450122276815841,0.531806045393212
"Aboveground","DO",4,0.283139065839376,0.467891866403664
"Aboveground","ED",9,0.363151203273272,0.0858844067361894
"Aboveground","HA",8,0.0192789939792472,0.742985197301309
"Aboveground","LH",9,0.0393125201274604,0.609079433510103
"Aboveground","QC",13,0.0988515286875093,0.295459228590359
"Aboveground","QS",5,0.300755608747108,0.33851991730071
"Aboveground","SS",6,0.0565181796686162,0.650114902610018
"Belowground","CG",7,0.0560004849030225,0.609413979431745
"Belowground","CM",8,0.239091727390178,0.218835031791328
"Belowground","CS",3,0.945912871311904,0.149424593989686
"Belowground","DO",4,0.202210935903739,0.550321297031159
"Belowground","ED",9,0.142951870741752,0.315717071628842
"Belowground","HA",8,0.0217133324266964,0.727683808518732
"Belowground","LH",9,0.366268063997889,0.0841932686118943
"Belowground","QC",13,0.0139315792275087,0.700950980113218
"Belowground","QS",5,0.00361002690871892,0.923545365700475
"Belowground","SS",6,0.0141209240664422,0.822591763622494
"Above_PC1","CG",7,0.763378671059673,0.0101577481839926
"Above_PC1","CM",8,0.212333565680698,0.250518777728474
"Above_PC1","CS",3,0.997252747252747,0.0333832399875895
"Above_PC1","DO",4,0.543721949692099,0.262624959947722
"Above_PC1","ED",9,0.301012474096805,0.126100496891864
"Above_PC1","HA",8,0.1600220926365,0.326123466524368
"Above_PC1","LH",9,0.000168862395368059,0.973531126334341
"Above_PC1","QC",13,0.114112639392883,0.258965006068641
"Above_PC1","QS",5,0.37296779046029,0.273902246936051
"Above_PC1","SS",6,0.593228069939385,0.0731364821457118
"Below_PC1","CG",7,0.0485981586918719,0.634779810966242
"Below_PC1","CM",8,0.258023020811955,0.198725539849885
"Below_PC1","CS",3,0.16616448068061,0.73270871073049
"Below_PC1","DO",4,0.38915873068178,0.376174118297597
"Below_PC1","ED",9,0.362496951629895,0.086242953220543
"Below_PC1","HA",8,0.1305508408419,0.379182069936164
"Below_PC1","LH",9,0.345752090630387,0.0958548049753133
"Below_PC1","QC",13,0.113398318993385,0.260555927017826
"Below_PC1","QS",5,0.0135332483508869,0.852215643048947
"Below_PC1","SS",6,0.0149617502853954,0.81743769694556
"Above_PC2","CG",7,0.045992615117289,0.644237621395891
"Above_PC2","CM",8,0.0904213357445691,0.46925018919148
"Above_PC2","CS",3,0.859042404603609,0.245018976244438
"Above_PC2","DO",4,0.0147132440962019,0.878701838034528
"Above_PC2","ED",9,0.180614662768608,0.254172818697202
"Above_PC2","HA",8,0.00102125894100236,0.940121141422617
"Above_PC2","LH",9,0.0866591644184764,0.44193238630922
"Above_PC2","QC",13,0.0641602592921163,0.403714756480146
"Above_PC2","QS",5,0.0428544940434804,0.738317388744248
"Above_PC2","SS",6,0.0460118587067269,0.683179233315926
"Below_PC2","CG",7,0.00034108273302773,0.968652374145508
"Below_PC2","CM",8,0.0177774530068441,0.752949363579225
"Below_PC2","CS",3,0.513026052104209,0.491706419335125
"Below_PC2","DO",4,0.066174096609959,0.742756736511995
"Below_PC2","ED",9,0.00417459536462077,0.868832370254894
"Below_PC2","HA",8,0.190363094311077,0.279817542289078
"Below_PC2","LH",9,0.101284802877145,0.403919502717219
"Below_PC2","QC",13,0.00991664323169836,0.746182762138848
"Below_PC2","QS",5,0.534075186142789,0.16072040049489
"Below_PC2","SS",6,0.226906065631156,0.339523092202506
